000|000|025|050|023|000|000|000|000|000|000|000|000|000|000
000|000|025|050|023|000|000|000|000|000|000|000|000|000|000
000|000|025|050|023|000|000|000|000|000|000|000|000|000|000
000|000|025|050|023|000|000|000|000|000|000|000|000|000|000
000|000|025|050|023|000|000|000|000|000|000|000|000|000|000
000|000|025|050|023|000|000|000|000|000|000|000|000|000|000
000|000|025|050|046|047|047|047|047|047|004|000|000|000|000
000|000|025|050|050|050|050|050|050|050|023|000|000|000|000
000|000|026|001|001|001|001|001|002|050|023|000|000|000|000
000|000|000|000|000|000|000|000|025|050|023|000|000|000|000
000|000|000|000|000|000|000|000|025|050|023|000|000|000|000
000|000|000|000|000|000|000|000|025|050|023|000|000|000|000
000|000|000|000|000|000|000|000|025|050|023|000|000|000|000
000|000|000|000|000|000|000|000|025|050|023|000|000|000|000
000|000|000|000|000|000|000|000|025|050|023|000|000|000|000
